mine_fac,mine_other_names,country,state,region,province,district,sector,location_municipality,latitude,longitude,surface_area,unit_surface_area,claim_concession_area,unit_concession_area,mine_or_processing,commodities_products,mining_facility_types,production_start,production_end,activity_status,year_activity_status,certification_scheme,source,source_url,comment,,,,,,,
Cracow,,Australia,,,,,,,-25.2950756,150.2987097,,,,,Mine,"Gold, Silver",Underground,2004,,,,,Evolution Mining Website (Cracow)  ,https://evolutionmining.com.au/cracow/,,,,,,,,
Cadia,,Australia,,,,,,,,,,,,,Mine,"Gold, Copper, Silver","Underground, Open pit",,,,,,Newcrest Mining Limited (2018) Annual Report 2018,https://www.newcrest.com/sites/default/files/2019-10/181008_Newcrest%20Annual%20Report_1.pdf,,,,,,,,
Telfer,,Australia,Western Australia,Pilbara,,,,,-21.730009,122.2144088,,,,,Mine,"Gold, Copper, Silver","Open pit, Underground",,,,,,Newcrest Mining Limited (2018) Annual Report 2018,https://www.newcrest.com/sites/default/files/2019-10/181008_Newcrest%20Annual%20Report_1.pdf,,,,,,,,
Bonikro,,Cote d'Ivoire,,,,,,,6.222222921,-5.369627157,,,,,Mine,"Gold, Silver",Open pit,,,,,,Newcrest Mining Limited (2018) Annual Report 2018,https://www.newcrest.com/sites/default/files/2019-10/181008_Newcrest%20Annual%20Report_1.pdf,,,,,,,,
Lihir,,Papua New Guinea,,Niolam Island,New Ireland Province,,,,-3.123610482,152.6420807,,,,,Mine,"Gold, Silver",Open pit,,,,,,Newcrest Mining Limited (2018) Annual Report 2018,https://www.newcrest.com/sites/default/files/2019-10/181008_Newcrest%20Annual%20Report_1.pdf,,,,,,,,
Gosowong,Toguraci,Indonesia,,Halmahera Island,North Maluku Province,,,,1.5709993,127.8087693,,,,,Mine,"Gold, Silver","Underground, Open pit",,,,,,Newcrest Mining Limited (2018) Annual Report 2018,https://www.newcrest.com/sites/default/files/2019-10/181008_Newcrest%20Annual%20Report_1.pdf,,,,,,,,
Wafi-Golpu,,Papua New Guinea,,,Morobe Province,,,,-6.8628602,146.45226,,,,,Mine,"Copper, Gold","Open pit, Underground",,,Exploration,2018,,Newcrest Mining Limited (2018) Annual Report 2018,https://www.newcrest.com/sites/default/files/2019-10/181008_Newcrest%20Annual%20Report_1.pdf,,,,,,,,
Namosi,Waisoi,Fiji,,,Namosi Province,,,,-18.0864176,178.1291387,,,,,Mine,"Copper, Gold",Open pit,,,Exploration,2018,,Newcrest Mining Limited (2018) Annual Report 2018,https://www.newcrest.com/sites/default/files/2019-10/181008_Newcrest%20Annual%20Report_1.pdf,,,,,,,,
Hidden Valley,,Papua New Guinea,,,Morobe Province,,,,-7.4587041,146.6728293,,,,,Mine,"Gold, Silver",Open pit,,,,,,Newcrest Mining Limited (2018) Annual Report 2018,http://www.annualreports.com/HostedData/AnnualReportArchive/N/ASX_NCM_2018.pdf,,,,,,,,
Kinsevere,,Democratic Republic of Congo,,,Katanga,,,,-11.3633772,27.5664997,,,,,Mine,"Copper, Copper cathode","Open pit, HMS, SX-EW",2007,,,,,MMG (2017) Mining operations Kinsevere,http://www.mmg.com/en/Our-Operations/Mining-operations/Kinsevere.aspx,,,,,,,,
Dugald River,,Australia,,,,,,,-20.24954856,140.1519017,,,,,Mine,"Zinc, Lead, Silver",,2018,,,,,MMG (2017) Mining operations Dugald River,http://www.mmg.com/en/Our-Operations/Mining-operations/Dugald-River.aspx,,,,,,,,
Las Bambas,,Peru,,Apurimac region,Cotabambas,,,,-14.0893344,-72.3355683,,,,,Mine,"Copper, Gold, Silver, Molybdenum",Open pit,,,,,,MMG (2017) Mining operations Las Bambas,http://www.mmg.com/en/Our-Operations/Mining-operations/Las-Bambas.aspx,,,,,,,,
Rosebery,,Australia,,Tasmania West Coast,Zeehan,,,,-41.7791586,145.5403131,,,,,Mine,"Zinc, Lead, Copper, Gold, Silver",Underground,1936,,,,,MMG (2017) Mining operations Rosebery,http://www.mmg.com/en/Our-Operations/Mining-operations/Rosebery.aspx,,,,,,,,
Sepon,,Laos,,Southern Laos,Savannakhet,,,,16.95963268,106.0003582,,,,,Mine,"Copper, Gold, Copper cathode, Silver","Open pit, Leaching, SX-EW, Carbon-in-leach",,,,,,"MMG (2017) Annual Report 2016, MMG (2014) Annual Report 2013","http://www.mmg.com/en/Investors-and-Media/Reports-and-Presentations/~/media/Files/Exchange%20Announcements/Investors%20and%20Media/News/2017/04/20/MMG_Annual-Report2016.pdf, http://www.mmg.com/en/Investors-and-Media/Reports-and-Presentations/~/media/Reports%20and%20Presentations/Annual%20Reports/2013/e_2014-04-10_2013%20Annual%20Report.ashx","Sepon’s copper cathode is registered as Copper – Grade A quality by the London Metal Exchange (LME). Hence, Sepon copper is eligible for delivery to LME-approved warehouses.",,,,,,,
Golden Grove,,Australia,,,,,,,-28.7453231,116.9463424,,,,,Mine,"Zinc, Copper, PGM, Copper, Lead, Gold, Silver","Open pit, Underground",1990,,,,,"MMG (2017) Annual Report 2016, MMG (2014) Annual Report 2013","http://www.mmg.com/en/Investors-and-Media/Reports-and-Presentations/~/media/Files/Exchange%20Announcements/Investors%20and%20Media/News/2017/04/20/MMG_Annual-Report2016.pdf, http://www.mmg.com/en/Investors-and-Media/Reports-and-Presentations/~/media/Reports%20and%20Presentations/Annual%20Reports/2013/e_2014-04-10_2013%20Annual%20Report.ashx",,,,,,,,
Century,,Australia,,North-West Queensland,,,,Lawn Hill,-18.7340049,138.6191558,,,,,Mine,"Lead, Zinc, Silver",Open pit,1999,2016,,,,"MMG (2017) Annual Report 2016, MMG (2014) Annual Report 2013","http://www.mmg.com/en/Investors-and-Media/Reports-and-Presentations/~/media/Files/Exchange%20Announcements/Investors%20and%20Media/News/2017/04/20/MMG_Annual-Report2016.pdf, http://www.mmg.com/en/Investors-and-Media/Reports-and-Presentations/~/media/Reports%20and%20Presentations/Annual%20Reports/2013/e_2014-04-10_2013%20Annual%20Report.ashx",,,,,,,,
Collahuasi,,Chile,,,,,,,,,,,,,Mine,"Copper, Copper cathode",Open Pit,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Los Bronces,,Chile,,,,,,,,,,,,,Mine,"Copper, Copper cathode",,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
El Soldado,,Chile,,,,,,,-32.6520941,-71.1648889,,,,,Mine,"Copper, Copper cathode","Open pit, Underground",,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Chagres,,Chile,,,,,,,-32.80349222,-70.95880929,,,,,Smelter,Copper,,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Mogalakwena,,South Africa,,,,,,,-23.971409,28.913987,,,,,Mine,"Platinum, Palladium",,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Amandelbult,,South Africa,,,,,,,-24.7843908,27.3498955,,,,,Mine,"Platinum, Palladium",,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Unki,,Zimbabwe,,,,,,,-19.6226602,30.0948572,,,,,Mine,"Platinum, Palladium",,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Mototolo,,South Africa,,,,,,,-24.9942823,30.1230897,,,,,Mine,"Platinum, Palladium",,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Sishen,,South Africa,,,,,,,-27.78179,22.9849089,,,,,Mine,Iron ore,,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Kolomela,,South Africa,,,,,,,-28.3808257,22.9638704,,,,,Mine,Iron ore,,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Barro Alto,,Brazil,,,,,,,-15.07562657,-48.94362011,,,,,Mine,"Nickel, Manganese",,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Codemin,,Brazil,,,,,,,-14.1567711,-48.340014,,,,,Mine,"Nickel, Manganese",,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Niquelandia,,Brazil,,Goias,,Niquelandia,,,,,,,,,Mine,Nickel,,,,,,,Anglo American plc (2019) Ore Reserves and Mineral Resources Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-ore-reserves-and-mineral-resources-2018.pdf,,,,,,,,
BRPM,,South Africa,,,,,,,-25.4651267,27.0999112,,,,,Mine,Platinum,,,,,,,Anglo American plc (2017) Annual Report 2016,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2017/annual-report-2016-interactive-v2.pdf,,,,,,,,
Bokoni,,South Africa,,,,,,,-24.2927919,29.8816152,,,,,Mine,Platinum,,,,,,,Anglo American plc (2017) Annual Report 2016,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2017/annual-report-2016-interactive-v2.pdf,,,,,,,,
Bao Vista,,Brazil,,,,,,,,,,,,,Mine,"Niobium, Phosphates",,,,,,,Anglo American plc (2017) Annual Report 2016,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2017/annual-report-2016-interactive-v2.pdf,,,,,,,,
Chapadao,,Brazil,,,,,,,,,,,,,Mine,"Niobium, Phosphates",,,,,,,Anglo American plc (2017) Annual Report 2016,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2017/annual-report-2016-interactive-v2.pdf,,,,,,,,
Minas-Rio,,Brazil,,,,,,,,,,,,,Mine,Iron ore,,,,,,,Anglo American plc (2017) Annual Report 2016,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2017/annual-report-2016-interactive-v2.pdf,,,,,,,,
Mantos Blancos,,Chile,,,,,,,-23.442979,-70.0747501,,,,,Mine,"Copper, Copper cathode",,,,,,,Anglo American plc (2013) Annual Report 2012,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2013/annual-report2012.pdf,,,,,,,,
Mantoverde,,Chile,,,,,,,-26.5581379,-70.3270869,,,,,Mine,"Copper, Copper cathode",,,,,,,Anglo American plc (2013) Annual Report 2012,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2013/annual-report2012.pdf,,,,,,,,
Thabazimbi,,South Africa,,,,,,,-24.6073776,27.3895266,,,,,Mine,Iron ore,,,,,,,Anglo American plc (2013) Annual Report 2012,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2013/annual-report2012.pdf,,,,,,,,
Loma de Niquel,,Venezuela,,,,,,,10.1516667,-67.1377778,,,,,Mine,Nickel,,,,,,,Anglo American plc (2013) Annual Report 2012,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2013/annual-report2012.pdf,,,,,,,,
Lisheen,,Ireland ,,,,Tipperary,,,52.7498665,-7.6809347,,,,,Mine,"Zinc, Lead",Underground,,2015,,,,Anglo American plc (2013) Annual Report 2012; Vedanta Zinc international Website (Lisheen mine) ; Vedanta Limited (2019) Form 20-F Annual Report 2019  ,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2013/annual-report2012.pdf ; https://www.vedanta-zincinternational.com/our-operations/lisheen-mine ; https://www.sec.gov/Archives/edgar/data/1370431  ,,,,,,,,
Black Mountain,,South Africa,,,Northern Cape,,,,-29.25985103,18.80291212,,,,,Mine,"Zinc, Lead, Silver, Copper","Open pit, Underground",1980,,,,,Anglo American plc (2013) Annual Report 2012; Vedanta Zinc international Website (Black Mountain) ; Vedanta Limited (2019) Form 20-F Annual Report 2019 ,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2013/annual-report2012.pdf ; https://www.vedanta-zincinternational.com/our-operations/black-mountain ; https://www.sec.gov/Archives/edgar/data/1370431 ,,,,,,,,
Rosh Pinah,,Namibia,,Kaharas,,,,Rosh Pinah,-27.95533948,16.76528053,,,,,Mine,"Zinc, Lead",Underground,,,,,,Exxaro Resources Ltd. (2012) Annual Financial Results Presentation for the year ended 31 December 2011,https://web.archive.org/web/20150315043001/http://www.exxaro.com/pdf/2012/feb/results_presentation_2011.pdf,,,,,,,,
Skorpion,,Namibia,,Kaharas,,,,Rosh Pinah,-27.81291052,16.60216398,,,,,"Mine, Refinery","Zinc, Zinc ingots",Open pit,2003,,,,,Anglo American plc (2011) Annual Report 2010 ; Vedanta Zinc International Website (Skorpion Zinc) ; Vedanta Limited (2019) Form 20-F Annual Report 2019 ,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2011/angloamerican-annual-report-2010.pdf ; https://www.vedanta-zincinternational.com/our-operations/skorpion-zinc ; https://www.sec.gov/Archives/edgar/data/1370431/000119312519194036/d745879d20f.htm#toc745879_7 ,,,,,,,,
Catalao,,Brazil,,,,,,,-18.14604789,-47.80056937,,,,,Mine,Niobium,,,,,,,Anglo American plc (2011) Annual Report 2010,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2011/angloamerican-annual-report-2010.pdf,,,,,,,,
Australia Sands,"Tiwest, Ticor Australia",Australia,,,,,,,-30.64693188,115.4727195,,,,,Mine,"Zircon, Rutile, Ilmenite",,,,,,,Exxaro Resources Ltd. (2012) Annual Financial Results Presentation for the year ended 31 December 2011,https://web.archive.org/web/20150315043001/http://www.exxaro.com/pdf/2012/feb/results_presentation_2011.pdf,,,,,,,,
KZN Sands,KwaZulu-Natal Sands,South Africa,,,,,,,-28.72589343,31.87474102,,,,,Mine,"Zircon, Rutile, Ilmenite",,,,,,,Exxaro Resources Ltd. (2012) Annual Financial Results Presentation for the year ended 31 December 2011,https://web.archive.org/web/20150315043001/http://www.exxaro.com/pdf/2012/feb/results_presentation_2011.pdf,,,,,,,,
Namakwa Sands,,South Africa,,,,,,Brand-se-Baai,-31.27254426,17.90249934,,,,,Mine,"Zircon, Rutile, Ilmenite",Open pit,,,,,,Anglo American plc (2009) Annual Report 2008 ; Tronox Website (Global locations) ,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2009/ar2008.pdf ; https://www.tronox.com/about-us/global-locations/#9423,,,,,,,,
Namakwa Sands Smelter,,South Africa,,Saldanha Bay,,,,,-32.96473242,18.04438715,,,,,Smelter,"Titanium dioxide slag, Pig Iron",,,,,,,Anglo American plc (2009) Annual Report 2008 ; Tronox Website (Global locations) ,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2009/ar2008.pdf ; https://www.tronox.com/about-us/global-locations/#9423,,,,,,,,
Copebras,,Brazil,,,,,,,-18.14525002,-47.82295625,,,,,Mine,"Sodium tripolyphosphate, Phosphates",,,,,,,Anglo American plc (2009) Annual Report 2008,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2009/ar2008.pdf,,,,,,,,
Amapa,,Brazil,,,,,,,0.822419553,-51.86909191,,,,,Mine,Iron ore,,,,,,,Anglo American plc (2009) Annual Report 2008,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2009/ar2008.pdf,,,,,,,,
Quellaveco,,Peru,,,,,,,-17.1019691,-70.61212995,,,,,Mine,Copper,,,,,,,Anglo American plc (2015) Annual Report 2014 ,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2015/aa-ar14-interactive-final.pdf,,,,,,,,
Grosvenor,,Australia,,,,,,,-21.97419973,148.0118053,,,,,Mine,Metallurgical coal,,,,,,,Anglo American plc (2021) Annual Report 2020 ,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2021/aa-annual-report-full-2020.pdf,,,,,,,,
Moranbah,Moranbah North,Australia,,,,,,,-21.88408711,147.9711298,,,,,Mine,Metallurgical coal,,,,,,,Anglo American plc (2021) Annual Report 2020 ,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2021/aa-annual-report-full-2020.pdf,,,,,,,,
Jellinbah,Jellinbah East,Australia,,,,,,,-23.39107543,148.9307132,,,,,Mine,"Metallurgical coal, Thermal coal",,,,,,,Anglo American plc (2021) Annual Report 2020 ,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2021/aa-annual-report-full-2020.pdf,,,,,,,,
Capcoal,,Australia,,,,,,,,,,,,,Mine,"Metallurgical coal, Thermal coal",,,,,,,Anglo American plc (2021) Annual Report 2020 ,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2021/aa-annual-report-full-2020.pdf,,,,,,,,
Dawson,Dawson Complex,Australia,,,,,,,-24.629531,150.0615783,,,,,Mine,"Metallurgical coal, Thermal coal",,,,,,,Anglo American plc (2021) Annual Report 2020 ,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2021/aa-annual-report-full-2020.pdf,,,,,,,,
Callide,,Australia,,,,,,,-24.32377043,150.6262265,,,,,Mine,Thermal coal,,,,,,,Anglo American plc (2015) Annual Report 2014,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2015/aa-ar14-interactive-final.pdf,,,,,,,,
Foxleigh,,Australia,,Bowen Basin,,,,,-22.9814407,148.7831011,,,,,Mine,Metallurgical coal,,,,,,,Anglo American plc (2015) Annual Report 2014,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2015/aa-ar14-interactive-final.pdf,,,,,,,,
Drayton,,Australia,,,,,,,-32.35497772,150.9008626,,,,,Mine,Thermal coal,,,,,,,Anglo American plc (2015) Annual Report 2014,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2015/aa-ar14-interactive-final.pdf,,,,,,,,
Dartbrook,,Australia,,,,,,,-32.15293126,150.8270382,,,,,Mine,Coal,,,,,,,Anglo American plc (2005) Annual Report 2004,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2005/annual-report-2004.pdf,,,,,,,,
Goedehoop,,South Africa,,,,,,,-26.0477813,29.49033309,,,,,Mine,Thermal coal,,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Greenside,,South Africa,,,,,,,-25.95826636,29.18021912,,,,,Mine,Thermal coal,,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Zibulo,Zondagsfontein,South Africa,,,,,,,-26.20006138,29.01739586,,,,,Mine,Thermal coal,,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Mafube,,South Africa,,,,,,,-25.79392587,29.73906393,,,,,Mine,Thermal coal,,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
New Vaal,,South Africa,,,,,,,-26.73003085,27.9609249,,,,,Mine,Thermal coal,,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
New Denmark,,South Africa,,,,,,,-26.74070809,29.35319037,,,,,Mine,Thermal coal,,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Kriel,,South Africa,,,,,,,-26.20766413,29.16642539,,,,,Mine,Thermal coal,,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Isibonelo,,South Africa,,,,,,,-26.43505413,29.2102634,,,,,Mine,Thermal coal,,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Anglo American other coal mines South Africa,,South Africa,,,,,,,,,,,,,Company,Thermal coal,,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,"Anglo American often specifies coal mined by ""other"" mines. This Company entry records all coal mined by Anglo American specified as ""other"". ",,,,,,,
Khwezela,,South Africa,,,,,,,,,,,,,Mine,Thermal coal,,,,,,,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf,,,,,,,,
Nooitgedacht,,South Africa,,,,,,,-25.7411049,29.7916243,,,,,Mine,Thermal coal,,,,,,,Anglo American plc (2011) Annual Report 2010,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2011/angloamerican-annual-report-2010.pdf,,,,,,,,
Bank,,South Africa,,,,,,,,,,,,,Mine,Thermal coal,,,,,,,Anglo American plc (2009) Annual Report 2008,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2009/ar2008.pdf,,,,,,,,
Carbones del Guasare,,Venezuela,,,,,,,11.04155215,-72.2731658,,,,,Mine,Coal,,,,,,,Anglo American plc (2009) Annual Report 2008,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2009/ar2008.pdf,,,,,,,,
Peace River Coal,,Canada,,,,,,Tumbler Ridge,54.90088445,-120.9581283,,,,,Mine,Coal,,,,,,,Anglo American plc (2011) Annual Report 2010,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2011/angloamerican-annual-report-2010.pdf,,,,,,,,
Bozshakol,,Kazakhstan,,Paclodar,,,,,51.8469877,74.2913709,,,,,Mine,"Gold, Copper, Silver",Open pit,2015,,,,,KAZ minerals plc (2019) Annual Report 2018 ; KAZ Minerals Website (Bozshakol),https://www.kazminerals.com/media/9970/kaz-minerals-annual-report-2018.pdf ; https://www.kazminerals.com/our-business/bozshakol/,,,,,,,,
Aktogay,,Kazakhstan,,,,,,,46.9524266,79.9318158,,,,,Mine,"Copper, Silver, Copper cathode, Gold","Open pit, Heap leaching plant",2015,,,,,"KAZ minerals plc (2019) Annual Report 2018, KAZ Minerals Website (Aktogay)",https://www.kazminerals.com/media/9970/kaz-minerals-annual-report-2018.pdf ; https://www.kazminerals.com/our-business/aktogay/,,,,,,,,
Bozymchak,,Kyrgyzstan,,,,,,,41.25868408,71.06463684,,,,,Mine,"Copper, Gold, Silver",Open pit,2014,,,,,KAZ minerals plc (2019) Our business Bozymchak,https://www.kazminerals.com/our-business/bozymchak/,,,,,,,,
Orlovsky,,Kazakhstan,,,,,,,50.93402179,81.36462144,,,,,Mine,"Copper, Zinc, Gold, Silver",Underground,,,,,,KAZ minerals plc (2020) Annual Report 2019,https://www.kazminerals.com/media/19752/ka179_2019_annual_report_web_singles_v1.pdf,,,,,,,,
Artemyevsky,,Kazakhstan,,,,,,,50.60001727,81.7826043,,,,,Mine,"Copper, Zinc, Gold, Silver",Underground,,,active,2019,,KAZ minerals plc (2020) Annual Report 2019 ; KAZ Minerals Website (East Region),https://www.kazminerals.com/media/19752/ka179_2019_annual_report_web_singles_v1.pdf ; https://www.kazminerals.com/our-business/east-region/,,,,,,,,
Yubileyno-Snegirikhinsky,,Kazakhstan,,,,,,,,,,,,,Mine,"Copper, Zinc, Gold, Silver",,,2016,,,,KAZ minerals plc (2017) Annual Report 2016,https://www.kazminerals.com/media/1725/ka149_book-small-cmyk-1.pdf,,,,,,,,
Irtyshsky,,Kazakhstan,,,,,,,50.23738477,82.35158207,,,,,Mine,"Copper, Zinc, Gold, Silver",Underground,,,,,,KAZ minerals plc (2020) Annual Report 2019,https://www.kazminerals.com/media/19752/ka179_2019_annual_report_web_singles_v1.pdf,"Had own concentrating facilities until 2013, from then onwards until 2019 its ore was processed at the Belousovsky concentrator, and from 2019 onwards it is processed at the Nikolayevsky concentrator. ",,,,,,,
Nikolayevsky,,Kazakhstan,,,,,,,50.58733872,81.88929141,,,,,Mine,"Copper, Zinc, Gold, Silver",,,,,,,KAZ minerals plc (2020) Annual Report 2019,https://www.kazminerals.com/media/19752/ka179_2019_annual_report_web_singles_v1.pdf,"in 2012, mining activities were discontinued. However, the concentrator is still in use (2019) and processes ore from other mines in KAZ Minerals East region. Therefor, from the year 2012 onwards, the comment ""concentrator only"" indicates that the ore processed does not come from the Nikolayevsky Mine. ",,,,,,,
Belousovsky,,Kazakhstan,,,,,,,50.12910157,82.49711215,,,,,Mine,"Copper, Zinc, Gold, Silver",,,2012,,,,KAZ minerals plc (2020) Annual Report 2019,https://www.kazminerals.com/media/19752/ka179_2019_annual_report_web_singles_v1.pdf,"in 2012, mining activities were discontinued. However, the concentrator was still in use up to the year 2019 and processed ore from other mines in KAZ Minerals East region. In 2019, the site was completely closed. ",,,,,,,
Zhezkazgan North,,Kazakhstan,,,,,,,47.90149488,67.45704285,,,,,Mine,"Copper, Silver",,,,,,,KAZ minerals plc (2009) Annual Report 2008,http://annualreports.com/HostedData/AnnualReportArchive/k/LSE_KAZ_2008.pdf,,,,,,,,
Zhezkazgan South and Stepnoy,,Kazakhstan,,,,,,,47.82432417,67.3847168,,,,,Mine,"Copper, Silver",,,,,,,KAZ minerals plc (2009) Annual Report 2008,http://annualreports.com/HostedData/AnnualReportArchive/k/LSE_KAZ_2008.pdf,,,,,,,,
