mine_fac,mine_other_names,country,state,region,province,district,sector,location_municipality,latitude,longitude,surface_area,unit_surface_area,claim_concession_area,unit_concession_area,mine_or_processing,commodities_products,mining_facility_types,production_start,production_end,activity_status,year_activity_status,certification_scheme,source,source_url,comment,,,,,,,
Cuajone,,Peru,,Southern Peru,,,,,-17.0384034,-70.704952,,,,,Mine,"Copper, Molybdenum, Silver","Open pit, SX plant",1976,,,,,Southern Copper Corporation (2020) Annual Report 2019 ,https://www.sec.gov/ix?doc=/Archives/edgar/data/1001838/000155837020001781/scco-20191231x10k32f1e0.htm,,,,,,,,
La Caridad,,Mexico,,Sonora,,,,Nacozari,,,,,,,"Mine, Smelter, Refinery","Copper, Molybdenum, Copper Cathode, Silver","Open pit, SX-EW plant",1979,,,,,Southern Copper Corporation (2020) Annual Report 2019 ,https://www.sec.gov/ix?doc=/Archives/edgar/data/1001838/000155837020001781/scco-20191231x10k32f1e0.htm,,,,,,,,
Buenavista,"Cananea, Buenavista del Cobre",Mexico,,,,,,Cananea,30.9853954,-110.3170013,,,,,Mine,"Copper, Molybdenum, Copper Cathode, Silver","Open pit, SX-EW plant",1899,,,,,Southern Copper Corporation (2020) Annual Report 2019 ,https://www.sec.gov/ix?doc=/Archives/edgar/data/1001838/000155837020001781/scco-20191231x10k32f1e0.htm,,,,,,,,
IMMSA - Taxco,,Mexico,Guerrero,,,,,,,,,,,,Mine,"Zinc, Lead","Underground, Flotation",1918,,stopped 31.12.2013,,,Southern Copper Corporation (n.d.) Integrated Operations IMMSA - Taxco,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx#cuadros,,,,,,,,
IMMSA - Charcas,,Mexico,San Luis Potosi,,,,,,23.1346776,-101.1512942,,,,,Mine,"Zinc, Lead, Copper",,1911,,,,,Southern Copper Corporation (n.d.) Integrated Operations IMMSA - Charcas,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx#cuadros,,,,,,,,
IMMSA - Santa Eulalia,,Mexico,Chihuahua,,,,,,28.60349789,-105.8164786,,,,,Mine,"Zinc, Lead",,,,,,,Southern Copper Corporation (n.d.) Integrated Operations IMMSA - Santa Eulalia,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx#cuadros,,,,,,,,
IMMSA - Santa Barbara,,Mexico,Chihuahua,,,,,,,,,,,,Mine,"Zinc, Lead, Copper","Underground, Flotation plant",,,,,,Southern Copper Corporation (n.d.) Integrated Operations IMMSA - Santa Barbara,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx#cuadros,,,,,,,,
IMMSA - San Martin,,Mexico,Zacatecas,,,,,,23.6638317,-103.746493,,,,,Mine,"Zinc, Lead, Copper","Underground, Flotation plant",,,,,,Southern Copper Corporation (n.d.) Integrated Operations IMMSA - San Martin,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx#cuadros,,,,,,,,
Mexican IMMSA unit,,Mexico,"Zacatecas, Chihuahua, San Luis Potosi, Guerrero",,,,,,,,,,,,Region,"Copper, Zinc, Lead, Silver",Underground,,,,,,Southern Copper Corporation (2020) Annual Report 2019 ,https://www.sec.gov/ix?doc=/Archives/edgar/data/1001838/000155837020001781/scco-20191231x10k32f1e0.htm,IMMSA mines consolidated,,,,,,,
Tia Maria,,Peru,,,,,,,-17.0134592,-71.7685043,,,,,Mine,Copper,,,,in development,,,Southern Copper Corporation (n.d.) Integrated Operations Tia Maria,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx,,,,,,,,
El Arco,,Mexico,Baja California,,,,,,28.0291786,-113.3994241,,,,,Mine,Copper,,,,in development,,,Southern Copper Corporation (n.d.) Integrated Operations EL ARCO,http://www.southerncoppercorp.com/ENG/intope/Pages/PGIntOperation.aspx,,,,,,,,
El Pilar,,Mexico,Sonora,,,,,,,,,,,,Mine,Copper,,,,in development,,,Southern Copper Corporation (2020) Annual Report 2019 ,https://www.sec.gov/ix?doc=/Archives/edgar/data/1001838/000155837020001781/scco-20191231x10k32f1e0.htm,,,,,,,,
Pilares,,Mexico,Sonora,,,,,,30.33021609,-109.6306987,,,,,Mine,Copper,,,,in development,,,Southern Copper Corporation (2020) Annual Report 2019 ,https://www.sec.gov/ix?doc=/Archives/edgar/data/1001838/000155837020001781/scco-20191231x10k32f1e0.htm,,,,,,,,
